id,session_id,test_type,spelling_total,spelling_per_question_json,unknown_tokens_by_question_json
1,0e8b58b7-22e7-419a-b08b-6d3ae675ebf4,multitasking,0,"{""fieldOfStudy"":0,""email"":0,""age"":0,""morningRoutine"":0,""favoriteRestaurant"":0,""musicPreference"":0,""weekendActivity"":0,""calmExperience"":0,""decisionMaking"":0,""handlingPressure"":0,""teamworkExperience"":0,""transcription"":0}","{""fieldOfStudy"":[],""email"":[],""age"":[],""morningRoutine"":[],""favoriteRestaurant"":[],""musicPreference"":[],""weekendActivity"":[],""calmExperience"":[],""decisionMaking"":[],""handlingPressure"":[],""teamworkExperience"":[],""transcription"":[]}"
2,19eef4b9-62da-49e5-9d28-057223af3080,free,7,"{""gender"":0,""location"":0,""fieldOfStudy"":0,""weekendActivity"":2,""favoriteMovie"":0,""recentMeal"":2,""lastVacation"":2,""learningStrategy"":0,""learningMistake"":1,""problemSolving"":0,""goalSetting"":0,""transcription"":0}","{""gender"":[],""location"":[],""fieldOfStudy"":[],""weekendActivity"":[""videogames"",""online""],""favoriteMovie"":[],""recentMeal"":[""seseme"",""sause""],""lastVacation"":[""koh"",""lanta""],""learningStrategy"":[],""learningMistake"":[""proritise""],""problemSolving"":[],""goalSetting"":[],""transcription"":[]}"
3,19eef4b9-62da-49e5-9d28-057223af3080,multitasking,0,"{""dominantHand"":0,""age"":0,""nativeLanguage"":0,""favoritePlace"":0,""favoriteMovie"":0,""typicalEvening"":0,""favoriteSeason"":0,""handlingPressure"":0,""idealHoliday"":0,""problemBreakdown"":0,""stressfulSituation"":0,""transcription"":0}","{""dominantHand"":[],""age"":[],""nativeLanguage"":[],""favoritePlace"":[],""favoriteMovie"":[],""typicalEvening"":[],""favoriteSeason"":[],""handlingPressure"":[],""idealHoliday"":[],""problemBreakdown"":[],""stressfulSituation"":[],""transcription"":[]}"
4,19eef4b9-62da-49e5-9d28-057223af3080,timed,0,"{""nativeLanguage"":0,""age"":0,""location"":0,""favoriteMovie"":0,""dailyTransport"":0,""favoriteRestaurant"":0,""favoriteMemory"":0,""calmExperience"":0,""goalSetting"":0,""adaptingToChange"":0,""learningStrategy"":0,""transcription"":0}","{""nativeLanguage"":[],""age"":[],""location"":[],""favoriteMovie"":[],""dailyTransport"":[],""favoriteRestaurant"":[],""favoriteMemory"":[],""calmExperience"":[],""goalSetting"":[],""adaptingToChange"":[],""learningStrategy"":[],""transcription"":[]}"
5,46cf3079-d343-42fd-9baf-7ea0396d3f3a,free,1,"{""location"":0,""occupation"":0,""age"":0,""favoriteMovie"":0,""favoritePlace"":1,""musicPreference"":0,""recentMeal"":0,""prioritisation"":0,""problemBreakdown"":0,""unexpectedChanges"":0,""conflictResolution"":0,""transcription"":0}","{""location"":[],""occupation"":[],""age"":[],""favoriteMovie"":[],""favoritePlace"":[""caf""],""musicPreference"":[],""recentMeal"":[],""prioritisation"":[],""problemBreakdown"":[],""unexpectedChanges"":[],""conflictResolution"":[],""transcription"":[]}"
6,46cf3079-d343-42fd-9baf-7ea0396d3f3a,multitasking,0,"{""gender"":0,""location"":0,""dailyComputerUsage"":0,""favoriteMemory"":0,""hobbies"":0,""musicPreference"":0,""typicalEvening"":0,""explainingTasks"":0,""calmExperience"":0,""motivation"":0,""prioritisation"":0,""transcription"":0}","{""gender"":[],""location"":[],""dailyComputerUsage"":[],""favoriteMemory"":[],""hobbies"":[],""musicPreference"":[],""typicalEvening"":[],""explainingTasks"":[],""calmExperience"":[],""motivation"":[],""prioritisation"":[],""transcription"":[]}"
7,46cf3079-d343-42fd-9baf-7ea0396d3f3a,timed,0,"{""email"":0,""education"":0,""dominantHand"":0,""dailySchedule"":0,""recentMeal"":0,""lastVacation"":0,""dailyTransport"":0,""unexpectedProblem"":0,""prioritisation"":0,""workLifeBalance"":0,""fiveYearsFromNow"":0,""transcription"":0}","{""email"":[],""education"":[],""dominantHand"":[],""dailySchedule"":[],""recentMeal"":[],""lastVacation"":[],""dailyTransport"":[],""unexpectedProblem"":[],""prioritisation"":[],""workLifeBalance"":[],""fiveYearsFromNow"":[],""transcription"":[]}"
8,67f5a4b2-818b-4f49-90d4-6492115e7b4d,free,6,"{""email"":1,""age"":0,""occupation"":0,""morningRoutine"":0,""dailyTransport"":0,""musicPreference"":1,""favoriteMovie"":1,""learningStrategy"":0,""decisionMaking"":0,""calmExperience"":1,""workLifeBalance"":0,""transcription"":2}","{""email"":[""com""],""age"":[],""occupation"":[],""morningRoutine"":[],""dailyTransport"":[],""musicPreference"":[""mandopop""],""favoriteMovie"":[""women""],""learningStrategy"":[],""decisionMaking"":[],""calmExperience"":[""feet""],""workLifeBalance"":[],""transcription"":[""emails"",""coordinating""]}"
9,67f5a4b2-818b-4f49-90d4-6492115e7b4d,multitasking,0,"{""nativeLanguage"":0,""education"":0,""location"":0,""favoriteMovie"":0,""lastVacation"":0,""weekendActivity"":0,""favoriteMemory"":0,""prioritisation"":0,""fiveYearsFromNow"":0,""decisionMaking"":0,""timeManagement"":0,""transcription"":0}","{""nativeLanguage"":[],""education"":[],""location"":[],""favoriteMovie"":[],""lastVacation"":[],""weekendActivity"":[],""favoriteMemory"":[],""prioritisation"":[],""fiveYearsFromNow"":[],""decisionMaking"":[],""timeManagement"":[],""transcription"":[]}"
10,67f5a4b2-818b-4f49-90d4-6492115e7b4d,timed,0,"{""location"":0,""occupation"":0,""nativeLanguage"":0,""favoriteMemory"":0,""dailyTransport"":0,""exerciseRoutine"":0,""weekendActivity"":0,""timeManagement"":0,""teamworkExperience"":0,""learningMistake"":0,""explainingTasks"":0,""transcription"":0}","{""location"":[],""occupation"":[],""nativeLanguage"":[],""favoriteMemory"":[],""dailyTransport"":[],""exerciseRoutine"":[],""weekendActivity"":[],""timeManagement"":[],""teamworkExperience"":[],""learningMistake"":[],""explainingTasks"":[],""transcription"":[]}"
